,idd,date1,country,cases
464,464,2020-03-30,Angola,7
465,465,2020-03-31,Angola,7
466,466,2020-04-01,Angola,8
467,467,2020-04-02,Angola,8
468,468,2020-04-03,Angola,8
469,469,2020-04-04,Angola,10
470,470,2020-04-05,Angola,14
471,471,2020-04-06,Angola,16
472,472,2020-04-07,Angola,17
473,473,2020-04-08,Angola,19
474,474,2020-04-09,Angola,19
475,475,2020-04-10,Angola,19
476,476,2020-04-11,Angola,19
477,477,2020-04-12,Angola,19
478,478,2020-04-13,Angola,19
479,479,2020-04-14,Angola,19
480,480,2020-04-15,Angola,19
481,481,2020-04-16,Angola,19
482,482,2020-04-17,Angola,19
483,483,2020-04-18,Angola,24
484,484,2020-04-19,Angola,24
485,485,2020-04-20,Angola,24
486,486,2020-04-21,Angola,24
487,487,2020-04-22,Angola,25
488,488,2020-04-23,Angola,25
489,489,2020-04-24,Angola,25
490,490,2020-04-25,Angola,25
491,491,2020-04-26,Angola,26
492,492,2020-04-27,Angola,27
493,493,2020-04-28,Angola,27
494,494,2020-04-29,Angola,27
495,495,2020-01-22,Antigua and Barbuda,0
496,496,2020-01-23,Antigua and Barbuda,0
497,497,2020-01-24,Antigua and Barbuda,0
498,498,2020-01-25,Antigua and Barbuda,0
499,499,2020-01-26,Antigua and Barbuda,0
500,500,2020-01-27,Antigua and Barbuda,0
501,501,2020-01-28,Antigua and Barbuda,0
502,502,2020-01-29,Antigua and Barbuda,0
503,503,2020-01-30,Antigua and Barbuda,0
504,504,2020-01-31,Antigua and Barbuda,0
505,505,2020-02-01,Antigua and Barbuda,0
506,506,2020-02-02,Antigua and Barbuda,0
507,507,2020-02-03,Antigua and Barbuda,0
508,508,2020-02-04,Antigua and Barbuda,0
509,509,2020-02-05,Antigua and Barbuda,0
510,510,2020-02-06,Antigua and Barbuda,0
511,511,2020-02-07,Antigua and Barbuda,0
512,512,2020-02-08,Antigua and Barbuda,0
513,513,2020-02-09,Antigua and Barbuda,0
514,514,2020-02-10,Antigua and Barbuda,0
515,515,2020-02-11,Antigua and Barbuda,0
516,516,2020-02-12,Antigua and Barbuda,0
517,517,2020-02-13,Antigua and Barbuda,0
518,518,2020-02-14,Antigua and Barbuda,0
519,519,2020-02-15,Antigua and Barbuda,0
520,520,2020-02-16,Antigua and Barbuda,0
521,521,2020-02-17,Antigua and Barbuda,0
522,522,2020-02-18,Antigua and Barbuda,0
523,523,2020-02-19,Antigua and Barbuda,0
524,524,2020-02-20,Antigua and Barbuda,0
525,525,2020-02-21,Antigua and Barbuda,0
526,526,2020-02-22,Antigua and Barbuda,0
527,527,2020-02-23,Antigua and Barbuda,0
528,528,2020-02-24,Antigua and Barbuda,0
529,529,2020-02-25,Antigua and Barbuda,0
530,530,2020-02-26,Antigua and Barbuda,0
531,531,2020-02-27,Antigua and Barbuda,0
532,532,2020-02-28,Antigua and Barbuda,0
533,533,2020-02-29,Antigua and Barbuda,0
534,534,2020-03-01,Antigua and Barbuda,0
535,535,2020-03-02,Antigua and Barbuda,0
536,536,2020-03-03,Antigua and Barbuda,0
537,537,2020-03-04,Antigua and Barbuda,0
538,538,2020-03-05,Antigua and Barbuda,0
539,539,2020-03-06,Antigua and Barbuda,0
540,540,2020-03-07,Antigua and Barbuda,0
541,541,2020-03-08,Antigua and Barbuda,0
542,542,2020-03-09,Antigua and Barbuda,0
543,543,2020-03-10,Antigua and Barbuda,0
544,544,2020-03-11,Antigua and Barbuda,0
545,545,2020-03-12,Antigua and Barbuda,0
546,546,2020-03-13,Antigua and Barbuda,1
547,547,2020-03-14,Antigua and Barbuda,1
548,548,2020-03-15,Antigua and Barbuda,1
549,549,2020-03-16,Antigua and Barbuda,1
550,550,2020-03-17,Antigua and Barbuda,1
551,551,2020-03-18,Antigua and Barbuda,1
552,552,2020-03-19,Antigua and Barbuda,1
553,553,2020-03-20,Antigua and Barbuda,1
554,554,2020-03-21,Antigua and Barbuda,1
555,555,2020-03-22,Antigua and Barbuda,1
556,556,2020-03-23,Antigua and Barbuda,3
557,557,2020-03-24,Antigua and Barbuda,3
558,558,2020-03-25,Antigua and Barbuda,3
559,559,2020-03-26,Antigua and Barbuda,7
560,560,2020-03-27,Antigua and Barbuda,7
561,561,2020-03-28,Antigua and Barbuda,7
562,562,2020-03-29,Antigua and Barbuda,7
563,563,2020-03-30,Antigua and Barbuda,7
564,564,2020-03-31,Antigua and Barbuda,7
565,565,2020-04-01,Antigua and Barbuda,7
566,566,2020-04-02,Antigua and Barbuda,9
567,567,2020-04-03,Antigua and Barbuda,15
568,568,2020-04-04,Antigua and Barbuda,15
569,569,2020-04-05,Antigua and Barbuda,15
570,570,2020-04-06,Antigua and Barbuda,15
571,571,2020-04-07,Antigua and Barbuda,19
572,572,2020-04-08,Antigua and Barbuda,19
573,573,2020-04-09,Antigua and Barbuda,19
574,574,2020-04-10,Antigua and Barbuda,19
575,575,2020-04-11,Antigua and Barbuda,21
576,576,2020-04-12,Antigua and Barbuda,21
577,577,2020-04-13,Antigua and Barbuda,23
578,578,2020-04-14,Antigua and Barbuda,23
579,579,2020-04-15,Antigua and Barbuda,23
580,580,2020-04-16,Antigua and Barbuda,23
581,581,2020-04-17,Antigua and Barbuda,23
582,582,2020-04-18,Antigua and Barbuda,23
583,583,2020-04-19,Antigua and Barbuda,23
584,584,2020-04-20,Antigua and Barbuda,23
585,585,2020-04-21,Antigua and Barbuda,23
586,586,2020-04-22,Antigua and Barbuda,24
587,587,2020-04-23,Antigua and Barbuda,24
588,588,2020-04-24,Antigua and Barbuda,24
589,589,2020-04-25,Antigua and Barbuda,24
590,590,2020-04-26,Antigua and Barbuda,24
591,591,2020-04-27,Antigua and Barbuda,24
592,592,2020-04-28,Antigua and Barbuda,24
593,593,2020-04-29,Antigua and Barbuda,24
594,594,2020-01-22,Argentina,0
595,595,2020-01-23,Argentina,0
596,596,2020-01-24,Argentina,0
597,597,2020-01-25,Argentina,0
598,598,2020-01-26,Argentina,0
599,599,2020-01-27,Argentina,0
600,600,2020-01-28,Argentina,0
601,601,2020-01-29,Argentina,0
602,602,2020-01-30,Argentina,0
603,603,2020-01-31,Argentina,0
604,604,2020-02-01,Argentina,0
605,605,2020-02-02,Argentina,0
606,606,2020-02-03,Argentina,0
607,607,2020-02-04,Argentina,0
608,608,2020-02-05,Argentina,0
609,609,2020-02-06,Argentina,0
610,610,2020-02-07,Argentina,0
611,611,2020-02-08,Argentina,0
612,612,2020-02-09,Argentina,0
613,613,2020-02-10,Argentina,0
614,614,2020-02-11,Argentina,0
615,615,2020-02-12,Argentina,0
616,616,2020-02-13,Argentina,0
617,617,2020-02-14,Argentina,0
618,618,2020-02-15,Argentina,0
619,619,2020-02-16,Argentina,0
620,620,2020-02-17,Argentina,0
621,621,2020-02-18,Argentina,0
622,622,2020-02-19,Argentina,0
623,623,2020-02-20,Argentina,0
624,624,2020-02-21,Argentina,0
625,625,2020-02-22,Argentina,0
626,626,2020-02-23,Argentina,0
627,627,2020-02-24,Argentina,0
628,628,2020-02-25,Argentina,0
629,629,2020-02-26,Argentina,0
630,630,2020-02-27,Argentina,0
631,631,2020-02-28,Argentina,0
632,632,2020-02-29,Argentina,0
633,633,2020-03-01,Argentina,0
634,634,2020-03-02,Argentina,0
635,635,2020-03-03,Argentina,1
636,636,2020-03-04,Argentina,1
637,637,2020-03-05,Argentina,1
638,638,2020-03-06,Argentina,2
639,639,2020-03-07,Argentina,8
640,640,2020-03-08,Argentina,12
641,641,2020-03-09,Argentina,12
642,642,2020-03-10,Argentina,17
643,643,2020-03-11,Argentina,19
644,644,2020-03-12,Argentina,19
645,645,2020-03-13,Argentina,31
646,646,2020-03-14,Argentina,34
647,647,2020-03-15,Argentina,45
648,648,2020-03-16,Argentina,56
649,649,2020-03-17,Argentina,68
650,650,2020-03-18,Argentina,79
651,651,2020-03-19,Argentina,97
652,652,2020-03-20,Argentina,128
653,653,2020-03-21,Argentina,158
654,654,2020-03-22,Argentina,266
655,655,2020-03-23,Argentina,301
656,656,2020-03-24,Argentina,387
657,657,2020-03-25,Argentina,387
658,658,2020-03-26,Argentina,502
659,659,2020-03-27,Argentina,589
660,660,2020-03-28,Argentina,690
661,661,2020-03-29,Argentina,745
662,662,2020-03-30,Argentina,820
663,663,2020-03-31,Argentina,1054
664,664,2020-04-01,Argentina,1054
665,665,2020-04-02,Argentina,1133
666,666,2020-04-03,Argentina,1265
667,667,2020-04-04,Argentina,1451
668,668,2020-04-05,Argentina,1451
669,669,2020-04-06,Argentina,1554
670,670,2020-04-07,Argentina,1628
671,671,2020-04-08,Argentina,1715
672,672,2020-04-09,Argentina,1795
673,673,2020-04-10,Argentina,1975
674,674,2020-04-11,Argentina,1975
675,675,2020-04-12,Argentina,2142
676,676,2020-04-13,Argentina,2208
677,677,2020-04-14,Argentina,2277
678,678,2020-04-15,Argentina,2443
679,679,2020-04-16,Argentina,2571
680,680,2020-04-17,Argentina,2669
681,681,2020-04-18,Argentina,2758
682,682,2020-04-19,Argentina,2839
683,683,2020-04-20,Argentina,2941
684,684,2020-04-21,Argentina,3031
685,685,2020-04-22,Argentina,3144
686,686,2020-04-23,Argentina,3435
687,687,2020-04-24,Argentina,3607
688,688,2020-04-25,Argentina,3780
689,689,2020-04-26,Argentina,3892
690,690,2020-04-27,Argentina,4003
691,691,2020-04-28,Argentina,4127
692,692,2020-04-29,Argentina,4285
693,693,2020-01-22,Armenia,0
694,694,2020-01-23,Armenia,0
695,695,2020-01-24,Armenia,0
696,696,2020-01-25,Armenia,0
697,697,2020-01-26,Armenia,0
698,698,2020-01-27,Armenia,0
699,699,2020-01-28,Armenia,0
700,700,2020-01-29,Armenia,0
701,701,2020-01-30,Armenia,0
702,702,2020-01-31,Armenia,0
703,703,2020-02-01,Armenia,0
704,704,2020-02-02,Armenia,0
705,705,2020-02-03,Armenia,0
706,706,2020-02-04,Armenia,0
707,707,2020-02-05,Armenia,0
708,708,2020-02-06,Armenia,0
709,709,2020-02-07,Armenia,0
710,710,2020-02-08,Armenia,0
711,711,2020-02-09,Armenia,0
712,712,2020-02-10,Armenia,0
713,713,2020-02-11,Armenia,0
714,714,2020-02-12,Armenia,0
715,715,2020-02-13,Armenia,0
716,716,2020-02-14,Armenia,0
717,717,2020-02-15,Armenia,0
718,718,2020-02-16,Armenia,0
719,719,2020-02-17,Armenia,0
720,720,2020-02-18,Armenia,0
721,721,2020-02-19,Armenia,0
722,722,2020-02-20,Armenia,0
723,723,2020-02-21,Armenia,0
724,724,2020-02-22,Armenia,0
725,725,2020-02-23,Armenia,0
726,726,2020-02-24,Armenia,0
727,727,2020-02-25,Armenia,0
728,728,2020-02-26,Armenia,0
729,729,2020-02-27,Armenia,0
730,730,2020-02-28,Armenia,0
731,731,2020-02-29,Armenia,0
732,732,2020-03-01,Armenia,1
733,733,2020-03-02,Armenia,1
734,734,2020-03-03,Armenia,1
735,735,2020-03-04,Armenia,1
736,736,2020-03-05,Armenia,1
737,737,2020-03-06,Armenia,1
